"date","gdp.per.capita","inequality","cars","rentalcars","taxis","buses","motorbikes","other","bus.u","mrt.u","top","bottom","population","lrt.u","gdp.per.capita.ch","inequality.ch","cars.ch","buses.ch","motorbikes.ch","bus.u.ch","mrt.u.ch","top.ch","bottom.ch","population.ch","lrt.u.ch","lcars","lgdp","ltop","lbottom"
1995,35345.464,3.88942141481323,342245,5144,16517,10723,129587,137913,3009,740,113402.46,29156.64,3013515,0,10.4729253462597,1.35826041001611,12.7432821338402,9.28014624622014,11.7721077492271,8.00936307663004,6.60665018619822,11.6386983631622,10.2804379531461,14.9186177294936,-Inf,NA,NA,NA,NA
1996,37030.853,4.02727813997797,362142,5451,16857,10998,132344,140512,3118,850,121752.27,30231.9,3068132,0,10.5195067090191,1.3930907482644,12.7997916790854,9.30546871706776,11.7931598722869,8.04494704961772,6.74523634948436,11.7097436855349,10.3166529372705,14.9365794653156,-Inf,342245,10.4729253462597,11.6386983631622,10.2804379531461
1997,39178.612,4.00299795641362,373345,6152,16933,11240,132629,142905,3116,911,126460.79,31591.52,3123403,0,10.5758862646331,1.3870435694966,12.8302582041149,9.32723412344768,11.7953110356877,8.04430540699064,6.81454289725996,11.7476875786277,10.3606440091311,14.9544336705272,-Inf,362142,10.5195067090191,11.7097436855349,10.3166529372705
1998,36524.706,4.36162985797175,370804,6536,17886,11429,133375,141051,3121,946,130964.13,30026.42,3180018,0,10.5057441873052,1.47284580814314,12.8234289001022,9.3439092638976,11.8009199886041,8.04590874227078,6.85224256905188,11.7826787478947,10.3098329397516,14.9723974151177,-Inf,373345,10.5758862646331,11.7476875786277,10.3606440091311
1999,36943.706,5.1242327135194,378024,7112,18029,11827,134346,139473,3213,986,139277.67,27180.2,3229681,27,10.5171505735721,1.63398079938091,12.8427129646497,9.37814033225112,11.8081738406194,8.07496035911586,6.89365635460264,11.8442248454107,10.2102440460298,14.9878939287117,3.29583686600433,370804,10.5057441873052,11.7826787478947,10.3098329397516
2000,41018.455,5.52979045382669,386780,8438,18327,12569,131937,134756,3251,1047,156177.54,28242.94,3273363,39,10.6217773663632,1.71014992219907,12.8656113349163,9.43898874392484,11.7900798149104,8.08671792030391,6.95368421087054,11.9587487160361,10.2485987938371,15.0013284547579,3.66356164612965,378024,10.5171505735721,11.8442248454107,10.2102440460298
2001,38659.651,7.03450144588517,398787,8857,18798,12902,131869,137157,3281,1071,159140.26,22622.82,3325902,41,10.5625517253031,1.95082682037711,12.8961827187451,9.46513761709219,11.7895642845471,8.0959035329611,6.97634807044775,11.9775412307118,10.0267144103347,15.0172514734783,3.71357206670431,386780,10.6217773663632,11.9587487160361,10.2485987938371
2002,39423.341,6.93900788543533,398166,8423,19106,12992,132318,135951,3197,1081,156838.44,22602.43,3382944,39,10.5821133310473,1.93715880831039,12.8946242827378,9.47208906240146,11.7929633952703,8.06996814905984,6.98564181763921,11.9629715099146,10.0258127016042,15.0342568942708,3.66356164612965,398787,10.5625517253031,11.9775412307118,10.0267144103347
2003,41069.975,6.34774714299552,399923,7803,19384,12951,135649,135333,2992,1171,159243.33,25086.59,3366891,50,10.6230325982336,1.84809996932444,12.8990273075596,9.46892828422359,11.8178259461469,8.00369733909437,7.06561336359772,11.9781886887268,10.1300887194024,15.0295003245868,3.91202300542815,398166,10.5821133310473,11.9629715099146,10.0258127016042
2004,46320.39,5.73535583759813,412015,7455,20407,13173,137029,137316,2805,1270,161198.37,28106.08,3413266,55,10.7433375319006,1.74664979531705,12.9288150354359,9.48592455922983,11.8279478612416,7.9391588179568,7.14677217945264,11.990390997341,10.243741202024,15.0431801621505,4.00733318523247,399923,10.6230325982336,11.9781886887268,10.1300887194024
